name,latitude,longitude,locality,region,postcode,address,date_closed
Heretic Coffee Co.,45.485847,-122.63731,Portland,OR,97202,5120 SE 28th Ave,
Flipside Coffee Shop,45.562643,-122.666813,Portland,OR,97211,,2022-11-01
No Po Coffeehouse,45.58071537642106,-122.71858848346909,Portland,OR,97203,4823 N Lombard St,
Keeper Coffee Co,45.514952422353446,-122.66415805005077,Portland,OR,97214,1121 SE 2nd Ave,
Cruzn Coffee & Espresso,45.503971008881194,-122.54454595640948,Portland,OR,97266,11518 SE Division St,
Floyds Coffee,45.51653751582313,-122.67608195523523,Portland,OR,97204,932 SW 3rd Ave,2017-12-02
Sam Jackson Hall Coffee Express,45.49977960869595,-122.68582220894947,Portland,OR,,,
Puff Coffee,45.51919076675844,-122.63695672651775,Portland,OR,97214,2816 SE Stark St,
Sinister Coffee & Creamery,45.518581,-122.68124,Portland,OR,97205,,
Happy Cup Coffee Bar,45.5237417,-122.6598675,Portland,OR,97232,555 NE Couch St,
Nossa Familia Coffee,45.52989,-122.68482,Portland,OR,97209,811 NW 13th ave,
Mr. Jollys Coffee Bar,45.5252854554857,-122.68036665996068,Portland,OR,97209,903 NW Everett St,2017-07-13
"Gourmet Coffee Systems, Inc.",45.51747614140668,-122.65447247604006,Portland,OR,97214,728 SE 11th Ave,
Nossa Familia Coffee Roastery,45.54792057859855,-122.7249008071288,Portland,OR,97210,3530 NW Saint Helens Rd,
Rainy Day Coffee,45.50557726293165,-122.59720246269525,Portland,OR,,,
Ristretto Roasters,45.53760429020901,-122.6214138503664,Portland,OR,97212,2035 NE 41st Ave,2019-01-10
Ava Roasteriá Coffee Co.,45.521136644192794,-122.80324707228866,Portland,OR,97229,230 NW Lost Springs Ter Ste 10,
Hashi Coffee,45.56248472554318,-122.66938076003791,Portland,OR,97217,330 N Killingsworth St,
Kopi Coffee House,45.52302768385628,-122.64179815498412,Portland,OR,97214,2327 E Burnside St,
Peets Coffee & Tea,45.53298828767152,-122.63499562582707,Portland,OR,97232,3030 NE Weidler St,2019-08-04
Rhondas Coffee,45.41060710039225,-122.6264473853988,Portland,OR,97267,,
Black Rock Coffee Bar,45.49711483502045,-122.57942384457054,Portland,OR,97206,8128 SE Powell Blvd,
Yigebe Coffee,45.542433241948196,-122.60372445627947,Portland,OR,97213,5730 NE Sandy Blvd,
The Stacks Coffeehouse,45.56296496262367,-122.68620564998338,Portland,OR,97217,1831 N Killingsworth St,
Muddy Waters Coffeehouse,45.51630151979058,-122.63589419672458,Portland,OR,97214,2908 SE Belmont St,
Cbc Coffee Shop,45.409549202372865,-122.57614677139333,Portland,OR,97267,15655 SE Johnson Ave,
Green Bridge Coffee,45.52992,-122.65904,Portland,OR,97232,650 NE Holladay St Ste 110,
Northfresh Coffee Roasters,45.436932,-122.777652,Portland,OR,97223,11500 SW 98th Ave,
Lillikoi Coffee,45.4976764535945,-122.6392171650155,Portland,OR,97202,2620 SE Powell Blvd,
Blind Coffee Pop-Up,45.52576594503314,-122.69819336377516,Portland,OR,97210,"404 NW 23rd Ave, Portland, OR 97210",2019-01-09
Case Study Coffee,45.53284522951398,-122.69855198555771,Portland,OR,97210,1400 NW 23rd Ave,
Tessas Coffee Corner,45.52919168530177,-122.65523960482007,Portland,OR,97232,905 NE 11th Ave,
Dutch Bros Coffee,45.52337635209994,-122.6935916125427,Portland,OR,97209,2057 W Burnside St,
Nossa Famila Coffee,45.51112,-122.685732,Portland,OR,,,
Capitola Coffee,45.55564252087752,-122.65022983441236,Portland,OR,97211,1465 NE Prescott St,2023-03-13
Peets Coffee & Tea,45.54822213230261,-122.53772832888036,Portland,OR,97230,3527 NE 122nd Ave,
Space Monkey Coffee,45.48283718204549,-122.58944056023513,Portland,OR,97206,5511 SE 72nd Ave,
Portland Coffee House,45.518811,-122.677538,Portland,OR,97214,SE Belmont,2012-02-20
Fetch Coffee Roasters,45.47357330576129,-122.65014469785196,Portland,OR,97202,1540 SE Sybee Blvd.,
Magic Bean Coffee,45.53270619041029,-122.65300623068241,Portland,OR,97232,2201 Lloyd Ctr,
Vivace Coffee House & Creperie,45.53281737698699,-122.69863415495932,Portland,OR,97210,1400 NW 23rd Ave,2022-04-09
Kainos Coffee,45.50487518310547,-122.6798324584961,Portland,OR,97201,2501 SW 1st Ave #123,
Sunny Day Coffee,45.52457279690754,-122.6987282563102,Portland,OR,97210,2310 NW Everett St,
Coffee Division,45.504869322879195,-122.62746625534555,Portland,OR,97202,3551 SE Division St,2019-04-17
Daily Cafe Coffee Shop,45.53750740252905,-122.70836976522158,Portland,OR,97210,,
Three Friends Coffeehouse,45.521446335621796,-122.65366078951956,Portland,OR,97214,201 SE 12th Ave,2015-03-23
Loma Coffee Co.,45.47952006336803,-122.61895875549112,Portland,OR,97206,4229 SE Woodstock Blvd,
Puff Coffee,45.505454722204846,-122.61553346761373,Portland,OR,97206,,
Dutch Bros Coffee,45.49043613070517,-122.6399396385066,Portland,OR,97202,4455 SE 26th Ave,
Broken Robot Robot Coffee,45.590571898153236,-122.75553033903765,Portland,OR,97203,,
Super Joy Coffee Shop,45.51466650387653,-122.68418153769686,Portland,OR,97201,1431 SW Park Ave,
Tessas Coffee Corner,45.512528559128405,-122.66025375853157,Portland,OR,97214,501 SE Hawthorne Blvd,
Alliance For Coffee Excellence,45.531375217235755,-122.63247023799657,Portland,OR,97232,3115 NE Sandy Blvd Ste 224,
Kobos Coffee,45.51150637235175,-122.67874781771197,Portland,OR,97201,200 SW Market St,
Stumptown Coffee Roasters,45.522212952861906,-122.68175242317295,Portland,OR,97205,1026 SW Stark St.,
Bellissimo Coffee Advisor,45.51540402651006,-122.66551147217918,Portland,OR,97214,1028 SE Water Ave Ste 275,
Coffee & Gift Shop,45.58284,-122.575516,Portland,OR,97220,8235 NE Airport Way,
Coffee Renaissance,45.50758584918123,-122.78252880313285,Portland,OR,97225,10206 SW Park Way,
Eastside Coffee Bar & Workspace,45.51329550572492,-122.64593494705883,Portland,OR,97214,1315 SE 20th Ave,
Yoburi Coffee,45.52722037663895,-122.67794266822021,Portland,OR,,,
Creatures Of Habit Coffee & Deli,45.51185054875268,-122.77802845348286,Portland,OR,97225,9755 SW Barnes Ed #110,
Peets Coffee,45.52314481327245,-122.69885764595642,Portland,OR,97210,2340 W Burnside St,
Kenilworth Coffee House,45.49350388767961,-122.62446696966408,Portland,OR,97202,3713 SE Gladstone St,
Ovation Coffee & Tea,45.532354513334674,-122.68150397279885,Portland,OR,97209,941 NW Overton St,
Cameo Coffee Roasting,45.547413189554014,-122.66712489017868,Portland,OR,,,2018-02-02
Vergnettis Coffee & Catering,45.5517605470255,-122.66635101715838,Portland,OR,97227,3954 N Williams Ave,
Ristretto Roasters - Beaumont,45.54865,-122.62034,Portland,OR,97213,3520 NE 42nd Ave,2013-06-10
The Coffee Branch,45.522641775316906,-122.6708516271752,Portland,OR,97204,28 SW 1st Ave,
Redwing Coffee & Bakery,45.53495002835642,-122.65992933298195,Portland,OR,97212,1700 NE 6th Ave,
Potters: Kolaches & Coffee,45.52291811380582,-122.67382414988099,Portland,OR,97204,12 SW 4th Ave,
Oak St. Coffee,45.525575942111104,-122.6771243645721,Portland,OR,97205,322 SW Broadway,
Tall Trees Coffee,45.528793,-122.643569,Portland,OR,97232,2117 NE Oregon St,
Stumptown Coffee Roasters - Annex,45.51642730398095,-122.62982828712103,Portland,OR,97214,3336 SE Belmont St,2014-01-05
Sharifs Coffee,45.530316296385244,-122.66557847427667,Portland,OR,,47 NE Holladay,
Wllamettes End Coffee,45.58120247455699,-122.71986770040361,Portland,OR,97203,5003 N Lombard St,
Bell Tower Coffee,45.516892,-122.606843,Portland,OR,,5441 SE Belmont St,
Acme Coffee Company,45.51237483915209,-122.62177997732977,Portland,OR,97214,1431 SE 40th Ave,
Amis Coffee Buzz,45.42851318179758,-122.63549298813132,Portland,OR,97222,13119 SE McLoughlin Blvd,
Cycle Town Coffee Roasters,45.53542692701963,-122.68824985340068,Portland,OR,97209,1626 NW Thurman St,
Extracto Coffee House & Roastery,45.56285538948544,-122.63539439310232,Portland,OR,97211,2921 NE Killingsworth St,
Coffee People,45.53393214254701,-122.66187639998661,Portland,OR,97232,1503 NE M L King Blvd,
Little Gotham Coffee,45.539334605530236,-122.67423465951838,Portland,OR,97227,2240 N Interstate Ave,
Fullers Coffee Shop,45.52431752844972,-122.68005313796866,Portland,OR,97209,136 NW 9th Ave,
Coffee Couture,45.53426923976707,-122.47677273218022,Portland,OR,97230,18140 NE Halsey St,
Cars & Coffee,45.40854596495738,-122.74617707741615,Portland,OR,97224,,
H&H Coffee Supply,45.49125263449201,-122.64194042457137,Portland,OR,97202,4409 SE 24th Ave,
Kahveology Coffee,45.47383577706811,-122.6492316175417,Portland,OR,97202,1625 SE Bybee Blvd,2023-05-24
Condordia Coffee House,45.55925265437349,-122.64792475514052,Portland,OR,97211,,
Farmer Brothers Coffee,45.57749847102837,-122.63384409126857,Portland,OR,97211,7515 NE 33rd Dr,
Northfresh Coffee Roasters,45.47716,-122.673741,Portland,OR,97239,6500 S Virginia Ave,
University Park Coffee,45.580354,-122.718468,Portland,OR,97203,4800 N Lombard St,2012-05-29
Cellar Door Coffee Roasters,45.508576086506714,-122.65479512155565,Portland,OR,97214,2001 SE 11th Ave,
Ristretto Roasters,45.55045125929805,-122.66654910387338,Portland,OR,97227,3808 N Williams Ave,2020-07-31
"Coffee, Tea, Etc",45.50901786263226,-122.78302226249349,Portland,OR,97225,10305 SW Park Way,
Peets Coffee & Tea,45.4438536537759,-122.62688803517385,Portland,OR,97222,10830 SE Oak St,
Dutch Bros Coffee,45.486888137182774,-122.73334295027082,Portland,OR,97221,5482 SW Beaverton Hillsdale Hwy,
Beulahland Coffee & Alehouse,45.52383863940457,-122.63713039996611,Portland,OR,97232,116 NE 28th Ave,
Dutch Bros Coffee,45.57105852245504,-122.61376812333089,Portland,OR,97218,4721 NE Columbia Blvd,
Coffee Time,45.51419962339705,-122.68417856379097,Portland,OR,97209,,
Hawthorne Coffee Merchant,45.47168860778549,-122.6069791576015,Portland,OR,97206,5424 SE Rural St,
Harder Day Coffee Co.,45.47952006336803,-122.61895875549112,Portland,OR,97206,4229 SE Woodstock Blvd,
Press & Grind Coffee,45.495855025996434,-122.60855213148112,Portland,OR,97206,5205 SE Foster Rd,
Dogfeathers Coffee,45.554379785914286,-122.67578991870796,Portland,OR,97217,4237 N Mississippi Ave,2017-09-08
See See Motor Coffee Co.,45.59119298261661,-122.75565362293084,Portland,OR,97203,8811 N Lombard St,2022-10-15
Ladybug Organic Coffee,45.589811,-122.75372,Portland,OR,97203,8438 N Lombard St,2011-05-19
Bison Coffeehouse,45.55169206500538,-122.60430952704883,Portland,OR,97213,3941 NE Cully Blvd,
Woodys Coffee Tavern,45.516950373876846,-122.65124880828672,Portland,OR,97214,1412 SE Morrison St,
Sisters Coffee Company,45.53090416092004,-122.68439048863631,Portland,OR,97209,1235 NW Marshall St,
Northwest Coffee Service,45.559377666809155,-122.53151784610773,Portland,OR,97230,12815 NE Marx St,2023-12-04
Case Study Coffee,45.519247824035865,-122.6824198067832,Portland,OR,97205,802 SW 10th Ave,
Gotta Have Coffee,45.56573135045145,-122.64621498198743,Portland,OR,97211,,
Kainos Coffee,45.546394469383614,-122.59475570326062,Portland,OR,97213,6633 NE Sandy Blvd,
Sandino Brothers Coffee,45.54243764700932,-122.6033360457871,Portland,OR,97213,5730 NE Sandy Blvd,
Hinterland Coffee & Clothing,45.526306,-122.58957,Portland,OR,97213,,
Coffee Northwest,45.523140848554135,-122.69621596226169,Portland,OR,97210,,
Portland Roasting Coffee,45.51989543933318,-122.65726726010325,Portland,OR,97214,815 SE Sandy Blvd,
Revolucion Coffee House,45.513796,-122.681247,Portland,OR,97201,1432 SW 6th Ave,
Dutch Bros Coffee,45.53786530555557,-122.69868345203344,Portland,OR,97210,2110 NW 23rd Ave,
Stumptown Coffee Roasters,45.52168,-122.682966,Portland,OR,97205,1140 SW Washington St,
Coffee Time,45.527953,-122.694255,Portland,OR,97209,712 NW 21st Ave,
Rosebridge Coffee,45.54831149458084,-122.58843904349581,Portland,OR,97213,7206 NE Sandy Blvd,
Aramark - Office Coffee & Water Services,45.558269696050004,-122.52529391364733,Portland,OR,97230,13327 NE Whitaker Way,
Alberta St Coffee,45.559184,-122.653274,Portland,OR,97211,,
Saint Simon Coffee Co.,45.53518184831251,-122.64574034782152,Portland,OR,97232,2005 NE Broadway St,
Coffee People,45.40673087473873,-122.79467051603437,Portland,OR,97224,15660 SW Pacific Hwy,
Boy Gorilla Coffee,45.51159569050105,-122.65422602484497,Portland,OR,97214,1101-1199 SE Clay St,
Ovation Coffee & Tea,45.495893,-122.6707,Portland,OR,97239,3730 SW Bond Ave,
Cup Coffee Co.,45.577693459036304,-122.68183223636026,Portland,OR,97217,7540 N Interstate Ave,
Temporary Coffee,45.515168,-122.666015,Portland,OR,97214,1028 SE Water Ave,2011-04-25
Case Study Coffee,45.52620403989949,-122.64111371360505,Portland,OR,97232,2402 NE Glisan St,
Floyd’S Coffee,45.508322,-122.648803,Portland,OR,97214,,
Seattles Best Coffee,45.51597988693125,-122.67961536110658,Portland,OR,97204,1100 SW 6th Ave,2017-03-15
Rocky Butte Coffee Roasters,45.54840418412102,-122.57584862096996,Portland,OR,97220,8505 NE Fremont St,
Rubys Coffee Shop,45.523081512459235,-122.64570709886522,Portland,OR,97232,35 NE 20th Ave,2018-06-03
Dutch Bros. Coffee,45.51638471377176,-122.66059622499621,Portland,OR,97214,514 SE Belmont St,2018-08-10
Stumptown Coffee Roasters,45.589265106537965,-122.59344044324996,Portland,OR,97218,7000 NE Airport Way,
Ristretto Roasters,45.541277650158776,-122.69696356354845,Portland,OR,97210,2181 NW Nicolai St,2020-08-13
Dutch Bros Coffee,45.57028654198944,-122.54683841248318,Portland,OR,97220,11529 NE Glenn Widing Dr,
Coava Coffee Roasters Cafe,45.5134351,-122.66041916,Portland,OR,97214,1300 SE Grand Ave,
Coffee People - Northwest,45.52656267431231,-122.69871735108333,Portland,OR,97210,533 NW 23rd Ave,
Black Rock Coffee Bar,45.57704207966763,-122.66815513372421,Portland,OR,97217,7434 N Vancouver Ave,
Blend Coffee House & Cafe,45.523080594521566,-122.641666068037,Portland,OR,97214,2327 E Burnside St,
Crema Coffee + Bakery,45.516712,-122.607197,Portland,OR,97215,5441 SE Belmont St,
Case Study Coffee Roasters,45.511047,-122.68427,Portland,OR,97201,,
Coffeelandia,45.52036993100217,-122.65817775938373,Portland,OR,97214,,2018-11-17
Nova Coffee,45.52734285218327,-122.64523684277,Portland,OR,97232,610 NE 20th Ave,
Coffee Can Cafe,45.50447079994787,-122.6113445068634,Portland,OR,,SE 50th & division,2018-06-03
Dutch Bros Coffee,45.57983694464,-122.57505648096908,Portland,OR,97218,8169 NE Air Cargo Rd,
Stumptown Roasters,45.517452,-122.679726,Portland,OR,97204,921 SW 6th Ave,
Vacasa Coffee Bar,45.52909,-122.68417,Portland,OR,97209,850 NW 13th Ave,
Black Rock Coffee Bar,45.534846143170526,-122.53732520973081,Portland,OR,97230,1680 NE 122nd Ave,
Flying Cat Coffee,45.50487014047519,-122.63384418954773,Portland,OR,97202,3041 SE Division St,
Portland Coffee Roasters,45.589265106537965,-122.59344044324996,Portland,OR,97218,7000 NE Airport Way,
Simple Local Coffee,45.52199681863973,-122.67165968490694,Portland,OR,97204,115 SW Ash St,
The Grind Coffee,45.587615966796875,-122.74223327636719,Portland,OR,97203,7316 N Lombard St,
Common Grounds Coffeehouse,45.512161322232,-122.61785128766194,Portland,OR,97215,4321 SE Hawthorne Blvd,
Queue Coffee,45.533053377621016,-122.69522611806629,Portland,OR,97210,2112 NW Quimby St,
Sozo Coffee & Tea,45.50480218275991,-122.57297640786649,Portland,OR,97266,8733 SE Division St,2019-01-09
Sugar Cube Coffee,45.58087842776886,-122.65904880155757,Portland,OR,97211,535 NE Columbia Blvd,
Coava Coffee Roasters,45.51653694720326,-122.68594933458702,Portland,OR,97201,1171 SW Jefferson St,
Ds Watkins Gallery & Coffee Hs,45.525451271177126,-122.68053405986011,Portland,OR,97209,333 NW 9th Ave,
Kainos Coffee,45.494881,-122.607926,Portland,OR,97206,5300 SE Foster Rd,
Daily Dose! Coffee Bar,45.504916,-122.627362,Portland,OR,97202,3551 SE Division St,
Presso Coffee,45.58299463200656,-122.68719247783939,Portland,OR,97217,2020 N McClellan St,
Tullys Coffee,45.532481,-122.698914,Portland,OR,97210,1323 NW 23rd Ave,
Coffee Cabanna,45.43195769197025,-122.76960763048827,Portland,OR,97223,12215 SW Main St,
Outlier Coffee,45.511898,-122.655484,Portland,OR,97214,1516 SE 10th Ave,2019-04-17
Blue Star Donuts & Coffee,45.51798244907171,-122.69156895756662,Portland,OR,97201,1701 SW Jefferson St,
Coffees On Espresso Bar,45.517444337022624,-122.56299307518907,Portland,OR,97216,9738 SE Washington St,
Black Rock Coffee Bar,45.533648,-122.619342,Portland,OR,97213,4242 SE Halsey St,
Mudd Works Roastery,45.526107835047476,-122.59175136227209,Portland,OR,97213,6922 NE Glisan St,
Coffee Lab Pdx,45.4830295114448,-122.57741070575754,Portland,OR,97266,5420 SE 82nd Ave,
Lents Commons Coffee House,45.479781893153564,-122.56850147315032,Portland,OR,97266,9201 SE Foster Rd,2012-11-03
Stumptown Coffee Roasters,45.50539324647169,-122.6155616452837,Portland,OR,97206,4525 SE Division St,
B2 Coffee Haus,45.53259811454164,-122.69224054401954,Portland,OR,97209,1976 NW Pettygrove St,2017-08-14
Roseline Coffee,45.512367,-122.677711,Portland,OR,97201,,
Deadstock Coffee Bar,45.532446,-122.668665,Portland,OR,97227,,2019-01-09
Portland Coffer Roasters,45.529366,-122.662737,Portland,OR,97232,,
Portland Coffee Roasters,45.5897319441046,-122.5985598564148,Portland,OR,97218,Concourse C,
Inner Garden Coffee,45.49266012991794,-122.6764525753809,Portland,OR,97239,4237 SW Corbett Ave,
Moes Coffee Shop,45.514740231577875,-122.6840315047529,Portland,OR,97201,53rd & Burnside,
Mornings Best Coffee,45.52232791817841,-122.48573536293723,Portland,OR,97233,17245 E Burnside St,
Coffee Plant,45.481041,-122.676839,Portland,OR,97239,5915 SW Corbett Ave,2011-05-19
Papaccinos Coffee House,45.46400606632233,-122.68359338333333,Portland,OR,97219,8421 SW Terwilliger Blvd,2012-05-09
Black Dog Coffee,45.505186172610436,-122.62227459033915,Portland,OR,97214,2440 SE Cesar E Chavez Blvd,2018-06-03
De-Preressed Coffee,45.51634981516925,-122.61810164707298,Portland,OR,97215,,
Trailhead Coffee Roasters,45.509638,-122.662196,Portland,OR,97214,,
Bold Coffee & Books,45.518055,-122.69212,Portland,OR,97205,,
Blue Heron Coffee,45.527071183457814,-122.64591670212631,Portland,OR,97232,541 NE 20th Ave,
Pdx Coffee Club,45.516962,-122.675282,Portland,OR,97204,827 SW 2nd Ave,
Concordia Coffee House,45.55918191824631,-122.6355583536749,Portland,OR,97211,2909 NE Alberta St,2022-04-16
Good Coffee,45.534308121536,-122.69581593155016,Portland,OR,97210,2175 NW Raleigh St,
Tinys Coffee South East,45.51257633947611,-122.65355127681357,Portland,OR,97214,1412 SE 12th Ave,
Blue Star Donuts + Coffee (Concourse D),45.590347,-122.5935,Portland,OR,97218,,
Beat Friend Juice + Coffee,45.50500311888194,-122.65419633848069,Portland,OR,97202,1121 SE division,
Dutch Bros Coffee,45.521548,-122.690767,Portland,OR,97205,,
Favela Coffee,45.516661,-122.60699,Portland,OR,97215,,
The Coffee Bar,45.517831,-122.678844,Portland,OR,97204,,
Floyds Coffee,45.52382146208237,-122.67170995763155,Portland,OR,97209,118 NW Couch St,
Coffees On,45.508527,-122.717991,Portland,OR,97221,4015 SW Canyon Rd,
Allegro Coffee,45.52326821289874,-122.63686137055949,Portland,OR,97214,2825 E Burnside St,
Blind Coffee Roasters,45.426003846238814,-122.59890204270711,Portland,OR,97222,,
The Dragonfly Coffee House,45.535555404862095,-122.70076287348977,Portland,OR,97210,2387 NW Thurman St,
Cowboy Coffee Company & Bbq,45.51782170359186,-122.62255926668233,Portland,OR,97214,700 SE Cesar E Chavez Blvd,
Harder Day Coffee Co,45.479503,-122.618895,Portland,OR,97206,4229 SE Woodstock Blvd,
Citizen Coffee,45.52830259868234,-122.68066281210847,Portland,OR,97209,721 NW 9th Ave,
Jim & Pattys Coffee,45.548336589435664,-122.6116515192244,Portland,OR,97213,4951 NE Fremont St,
Proud Mary Roastery,45.55165457828075,-122.66719835030776,Portland,OR,97227,3961 N Williams Ave,
Oracle Coffee Company,45.49515103929684,-122.67104118373527,Portland,OR,97239,3875 SW Bond Ave,2024-11-13
Abundancia Coffee,45.49765317531694,-122.60223133851355,Portland,OR,97206,5829 SE Powell Blvd,2024-11-04
Sharifs Coffee,45.51841370963788,-122.6748150683027,Portland,OR,97204,601 SW 2nd Ave,
Happy Cup Coffee,45.562324249969336,-122.66074034469811,Portland,OR,97211,446 NE Killingsworth St,2022-11-01
Cascadia Coffee Pub,45.53796928541865,-122.68812337551955,Portland,OR,97209,2010 NW Front Ave,
Da-Pressed Coffee Cart,45.516386642749794,-122.61802657158671,Portland,OR,97215,SE Belmont St,
Spielman Coffee & Bagels,45.534958100862234,-122.64278488590227,Portland,OR,97232,2200 NE Broadway St,
Rx Coffee,45.517109,-122.652689,Portland,OR,97214,,
Blue Star Donuts & Coffee,45.55015593103423,-122.6756889295191,Portland,OR,97227,3749 N Mississippi Ave,
Percasso Coffee & Bottled Water Service,45.54383643478369,-122.70432338480923,Portland,OR,97210,3055 NW Yeon Ave # 150,2024-06-18
Black Rock Coffee Bar,45.527440728921604,-122.68456301991468,Portland,OR,,617 NW 13th Ave,2020-02-29
Mangos Coffeehouse,45.517996467329795,-122.6904046798089,Portland,OR,97205,1215 SW 16th Ave,
Java Man Coffee,45.459135226429744,-122.70966388623161,Portland,OR,97219,9113 SW Barbur Blvd,
Coffee People,45.58797677867183,-122.59415119878048,Portland,OR,97218,Concourse B,2017-07-12
Peets Coffee & Tea,45.535172,-122.650631,Portland,OR,97232,"1441 N.E. Broadway,",
Woodlawn Coffee & Pastry,45.57175314754669,-122.65706328303652,Portland,OR,97211,808 NE Dekum St,
Focus International Coffee House,45.51888179054438,-122.68456453597132,Portland,OR,97205,1150 SW Taylor,
Guapo Comics & Coffee,45.4896245693934,-122.59722864573294,Portland,OR,97206,6350 SE Foster Rd,
Spunky Monkey House Of Coffee,45.52347545616734,-122.64565630649066,Portland,OR,97232,35 NE 20th Ave,2013-10-11
Peets Coffee & Tea,45.51187750482874,-122.62591368794298,Portland,OR,97214,3646 SE Hawthorne Blvd,2017-04-12
Foxy Coffee Co.,45.51633957407084,-122.62633858568465,Portland,OR,97214,3640 SE Belmont St,2018-05-10
First Choice Coffee Service Portland,45.51621005698223,-122.6622287472996,Portland,OR,97214,313 SE Yamhill St,
Grindhouse Coffee,45.56970942762767,-122.68723903646172,Portland,OR,97217,1934 N Rosa Parks Way,
Portland Roasting Coffee,45.589309,-122.593547,Portland,OR,97218,7000 NE Airport Way,2023-12-01
Arvys Coffee,45.41357591774625,-122.62937664659665,Portland,OR,97267,15168 SE McLoughlin Blvd,
St Johns Coffee Roasters,45.589418381642545,-122.75396898384193,Portland,OR,97203,7304 N Leavitt Ave,
Stumptown Coffee Roasters,45.52178665755522,-122.67351746142589,Portland,OR,97204,128 SW 3rd Ave,
Concourse Coffee,45.523820462852335,-122.65733883284285,Portland,OR,97232,807 NE Couch St,
Coffee Crossing,45.508888,-122.715609,Portland,OR,97205,4001 SW Canyon Rd,
Tullys Coffee,45.473895708003965,-122.64923593033278,Portland,OR,97202,1625 SE Bybee Blvd,2024-07-13
Broken Robot Coffee,45.49318178008027,-122.63617649674416,Portland,OR,97202,2860 SE Gladstone St #102,
Fairlane Coffee,45.47472992222271,-122.6486746407352,Portland,OR,97202,6647 SE Milwaukie Ave,
Prince Coffee,45.58361124864573,-122.68770371089973,Portland,OR,97217,2030 N Willis Blvd,2020-07-31
Floyds Coffee Shop,45.51717928634027,-122.65133587305505,Portland,OR,97214,1412 SE Morrison St,2019-08-25
Wild Bean Coffee,45.53047,-122.66081,Portland,OR,97232,,
King Harvest Drive Thru Coffee,45.51693639466252,-122.65039307517459,Portland,OR,97214,1502 SE Morrison St,
Tualatin Coffee & Wine,45.41348222987935,-122.78175013050553,Portland,OR,97224,10155 SW Murdock St,
Bs Coffee Cabana,45.4759891648034,-122.54380778581715,Portland,OR,97266,11540 SE Foster Rd,
Keia & Martyn’S Coffee,45.532534,-122.653653,Portland,OR,97232,Old Jamba Juice,
Coffee People,45.526190774863935,-122.47745066282414,Portland,OR,97230,499 NE 181st Ave,
Rilassi Coffee House & Tea,45.497300358110024,-122.66940892765312,Portland,OR,97239,3580 SW River Pkwy,
Extracto Coffeehouse,45.55558093169654,-122.65046902022598,Portland,OR,97211,1465 NE Prescott St,2019-02-14
5 Points Coffee,45.5048939531287,-122.62742753782014,Portland,OR,,,2019-04-17
Blue Moon Coffee,45.589337,-122.751428,Portland,OR,97203,8221 N Lombard St,2010-01-18
Grounded Nw Coffee,45.52323397439517,-122.69148364537824,Portland,OR,97209,1951 W Burnside St,2024-11-16
Fourth Estate Coffeehouse,45.590485140131264,-122.7548244587644,Portland,OR,97203,7373 N Burlington Ave,2017-07-24
Cranky B4 Coffee,45.461492294688355,-122.70797994588519,Portland,OR,,9050 SW Barbur Blvd,
Spunky Monkey Coffee Roasters,45.52666510246313,-122.6427011902764,Portland,OR,97232,2240A NE Sandy Blvd,
Roamer Roasters,45.513741,-122.654479,Portland,OR,97214,1105 SE Main St,
Heart Coffee,45.4794033117434,-122.6090844844873,Portland,OR,97206,5181 SE Woodstock Blvd,
Wallflower Coffee Co.,45.504706,-122.632746,Portland,OR,97202,3158 SE Division St,
Vul Coffee Roasters,45.504824,-122.6315,Portland,OR,,34th,
Coffee & Snack,45.5176339139875,-122.67763741312737,Portland,OR,97204,888 SW 5th Ave,
Stumptown Coffee Roasters,45.50497185802622,-122.62738759310808,Portland,OR,97202,3551 SE Division St,2017-01-25
Good Coffee,45.523565,-122.682553,Portland,OR,97209,1114 NW Couch St,
Bingo Masters Coffee,45.5593312744049,-122.65446059786576,Portland,OR,97211,1101 NE Alberta St,
Papaccinos Coffeehouse Woodstock,45.47935198704735,-122.61704899736168,Portland,OR,97206,4411 SE Woodstock Blvd,
Elevated Coffee,45.56144934045867,-122.66176546590687,Portland,OR,97211,5261 NE M L King Blvd,
Little Bear Coffee & Milk Tea,45.520241,-122.674401,Portland,OR,97204,,
Water Avenue Coffee,45.514169,-122.679259,Portland,OR,97201,"1300 SW 5th Ave, Portland OR 97201",
Cars & Coffee,45.57503222294871,-122.55993379405791,Portland,OR,,Cascade Station Parking Lot,
World Cup Coffee & Tea,45.52303631496102,-122.68188534364656,Portland,OR,97209,1005 W Burnside St,2023-05-29
Kalesa Coffee,45.539391,-122.674522,Portland,OR,97227,,
Sunset Bakery & Coffee Shop,45.525041875182815,-122.8143274416122,Portland,OR,97229,806 NW Murray Blvd,
Touchstone Coffee & Tea House,45.52592812765473,-122.59173852857187,Portland,OR,97213,445 NE 70th Ave,
Coffeehouse Five,45.550331307031776,-122.68062639670038,Portland,OR,,,
Sip & Kranz Coffee Lounge,45.5293071269989,-122.681498,Portland,OR,97209,901 NW 10th Ave,2012-01-28
Jim & Pattys Coffee,45.529667418197086,-122.6976996896396,Portland,OR,97210,2246 NW Lovejoy St,2022-04-09
Good Cart Coffee,45.562794,-122.658905,Portland,OR,97211,NE Killingsworth St,
Maplewood Coffee & Tea,45.46995052038215,-122.73082545092237,Portland,OR,97219,5206 SW Custer St,
Sterling Coffee Roasters,45.52666510802886,-122.69421866859274,Portland,OR,97209,518 NW 21st Ave,
